decade,Age,Medal,Sport,Name
2000s,21.0,Bronze,Hockey,"Desmond ""Des"" Abbott"
2010s,30.0,Bronze,Swimming,"Matthew ""Matt"" Abood"
1950s,23.0,Bronze,Rowing,Alexander Michael Hirst Aikman
1990s,21.0,Silver,Cycling,Brett Aitken
1990s,25.0,Bronze,Cycling,Brett Aitken
2000s,29.0,Gold,Cycling,Brett Aitken
2000s,26.0,Gold,Hockey,"Kate Ruth ""Katie"" Allen"
2000s,21.0,Bronze,Softball,"Sandra Louise ""Sandy"" Allen-Lewis"
2000s,25.0,Silver,Softball,"Sandra Louise ""Sandy"" Allen-Lewis"
2000s,29.0,Bronze,Softball,"Sandra Louise ""Sandy"" Allen-Lewis"
1960s,24.0,Bronze,Athletics,"Judith Florence ""Judy"" Amoore-Pollock"
2000s,23.0,Silver,Baseball,Craig Anthony Anderson
1950s,20.0,Bronze,Rowing,"David Rollo ""Dave"" Anderson"
1970s,33.0,Gold,Sailing,John Edward Anderson
1980s,30.0,Bronze,Sailing,John Scott Anderson
1970s,33.0,Gold,Sailing,"Thomas James ""Tom"" Anderson"
1990s,29.0,Bronze,Canoeing,Ramon Dean Andersson
1960s,16.0,Bronze,Swimming,"Janice ""Jan"" Andrew (-Thornett)"
1960s,16.0,Silver,Swimming,"Janice ""Jan"" Andrew (-Thornett)"
1990s,24.0,Gold,Hockey,"Michelle ""Shelley"" Andrews (-Mitchell)"
1990s,23.0,Gold,Hockey,Alyson Regina Annan
2000s,27.0,Gold,Hockey,Alyson Regina Annan
1990s,34.0,Gold,Rowing,Peter Thomas Antonie
1980s,20.0,Gold,Swimming,Duncan John D'Arcy Armstrong
1980s,20.0,Silver,Swimming,Duncan John D'Arcy Armstrong
2000s,30.0,Gold,Sailing,"Jennifer Margaret ""Jenny"" Armstrong"
1940s,31.0,Bronze,Wrestling,"James Michael ""Jim"" Armstrong"
2000s,30.0,Silver,Sailing,Glenn Ashby
2010s,23.0,Silver,Swimming,Jessica Ashwood
1940s,23.0,Silver,Athletics,George Gordon Avery
2000s,28.0,Silver,Canoeing,Nathan Baggaley
2000s,28.0,Silver,Canoeing,Nathan Baggaley
2000s,18.0,Gold,Swimming,Angie Lee Bainbridge
2010s,22.0,Silver,Swimming,Angie Lee Bainbridge
2000s,27.0,Silver,Rowing,Darren Balmforth
2000s,31.0,Gold,Shooting,"Suzanne Elspeth ""Suzy"" Balogh"
1950s,24.0,Bronze,Weightlifting,"Verdi ""Vern"" Barberis"
1900s,23.0,Bronze,Athletics,Nigel Chase Barker
1900s,23.0,Bronze,Athletics,Nigel Chase Barker
2000s,25.0,Bronze,Diving,Steven John Barnett
2000s,19.0,Gold,Swimming,Bronte Amelia Arnold Barratt
2010s,23.0,Bronze,Swimming,Bronte Amelia Arnold Barratt
2010s,23.0,Silver,Swimming,Bronte Amelia Arnold Barratt
2010s,27.0,Silver,Swimming,Bronte Amelia Arnold Barratt
2000s,23.0,Silver,Basketball,Suzy Batkovic (-Brown)
2000s,27.0,Silver,Basketball,Suzy Batkovic (-Brown)
2010s,31.0,Bronze,Basketball,Suzy Batkovic (-Brown)
1980s,25.0,Bronze,Rowing,"James Stewart ""Jim"" Battersby"
2000s,22.0,Gold,Cycling,Ryan Neville Bayley
2000s,22.0,Gold,Cycling,Ryan Neville Bayley
2000s,21.0,Bronze,Water Polo,Gemma Beadsworth
2010s,25.0,Bronze,Water Polo,Gemma Beadsworth
1990s,36.0,Bronze,Sailing,Colin Kenneth Beashel
1920s,28.0,Bronze,Swimming,"Francis Joseph Edmund ""Frank"" De Beaurepaire"
1920s,28.0,Silver,Swimming,"Francis Joseph Edmund ""Frank"" De Beaurepaire"
1920s,32.0,Bronze,Swimming,"Francis Joseph Edmund ""Frank"" De Beaurepaire"
1920s,32.0,Silver,Swimming,"Francis Joseph Edmund ""Frank"" De Beaurepaire"
2010s,28.0,Gold,Rugby Sevens,Nicole Elise Beck
1960s,19.0,Silver,Swimming,Amber Gerganiya Beckitt (-Shelley)
1980s,21.0,Gold,Hockey,Tracey Lee Belbin
2010s,29.0,Gold,Sailing,Mathew Belcher
2010s,33.0,Silver,Sailing,Mathew Belcher
1970s,21.0,Silver,Hockey,David Bell
1960s,17.0,Silver,Swimming,"Lynette ""Lyn"" Bell (-Chipchase)"
1960s,21.0,Silver,Swimming,"Lynette ""Lyn"" Bell (-Chipchase)"
2000s,30.0,Bronze,Canoeing,"Robin ""Rob"" Bell"
2010s,26.0,Silver,Rowing,Alexander Belonogoff
1950s,19.0,Bronze,Rowing,"Frederick Angus ""Fred"" Benfield (-Kirkham)"
1970s,31.0,Bronze,Equestrianism,Mervyn Bennett
1980s,19.0,Silver,Swimming,Glenn Stuart Beringen
1960s,15.0,Silver,Swimming,Kevin John Berry
1960s,19.0,Gold,Swimming,Kevin John Berry
1960s,19.0,Bronze,Swimming,Kevin John Berry
1970s,29.0,Bronze,Sailing,John Edwin Bertrand
1990s,29.0,Silver,Hockey,John Roderick Bestall
2000s,36.0,Silver,Basketball,Tully Louise Bevilaqua (Crook-)
2010s,24.0,Bronze,Athletics,Dane Alex Bird-Smith
1990s,29.0,Silver,Hockey,Warren Allen Birmingham
2010s,23.0,Bronze,Basketball,Abby Bishop
1960s,20.0,Bronze,Athletics,Marilyn Mary Black (-Vassella)
2000s,30.0,Bronze,Sailing,Michael James Blackburn
2010s,23.0,Silver,Cycling,Jack Bobridge
2010s,27.0,Silver,Cycling,Jack Bobridge
1990s,22.0,Silver,Hockey,Lee Andrew Bodimeade
2010s,25.0,Silver,Rowing,"Joshua ""Josh"" Booth"
1990s,29.0,Bronze,Sailing,"Mitchell Jay ""Mitch"" Booth"
1990s,33.0,Silver,Sailing,"Mitchell Jay ""Mitch"" Booth"
1990s,27.0,Bronze,Canoeing,Katrin Borchert
2000s,31.0,Bronze,Canoeing,Katrin Borchert
1960s,21.0,Bronze,Judo,"Theodore ""Ted"" Boronovskis"
2000s,26.0,Bronze,Softball,Jodie Bowering
1980s,25.0,Gold,Hockey,"Deborah Ann ""Debbie"" Bowman-Sullivan"
1990s,20.0,Bronze,Basketball,Carla Maree Boyd (Porter-)
2000s,24.0,Silver,Basketball,Carla Maree Boyd (Porter-)
1950s,22.0,Bronze,Rowing,David Hebbert Boykett
1960s,17.0,Silver,Athletics,Raelene Ann Boyle
1970s,21.0,Silver,Athletics,Raelene Ann Boyle
1970s,21.0,Silver,Athletics,Raelene Ann Boyle
2000s,24.0,Bronze,Rowing,Amber Bradley
1980s,22.0,Bronze,Rowing,Karen Patricia  Brancourt (-Pollock)
2000s,24.0,Bronze,Hockey,Michael Gene Brennan
2000s,28.0,Gold,Hockey,Michael Gene Brennan
2000s,25.0,Gold,Rowing,Scott Michael Brennan
1980s,21.0,Bronze,Swimming,Graeme Thomas Brewer
2000s,22.0,Silver,Baseball,"Thomas Robert ""Tom"" Brice"
2000s,20.0,Bronze,Swimming,Grant Tyson Brits
2010s,16.0,Silver,Diving,Brittany Broben
2000s,22.0,Bronze,Swimming,Leith Brodie
2000s,22.0,Bronze,Swimming,Leith Brodie
1990s,23.0,Bronze,Basketball,Michelle Kathleen Brogan-Griffiths
2000s,27.0,Silver,Basketball,Michelle Kathleen Brogan-Griffiths
1990s,27.0,Bronze,Basketball,"Sandra Anne ""Sandy"" Brondello"
2000s,32.0,Silver,Basketball,"Sandra Anne ""Sandy"" Brondello"
2000s,35.0,Silver,Basketball,"Sandra Anne ""Sandy"" Brondello"
1980s,17.0,Gold,Swimming,Neil Brooks
1980s,22.0,Silver,Swimming,Neil Brooks
1980s,22.0,Bronze,Swimming,Neil Brooks
2000s,24.0,Gold,Hockey,Travis Neil Brooks
2000s,28.0,Bronze,Hockey,Travis Neil Brooks
1960s,17.0,Bronze,Swimming,"Gregory John ""Greg"" Brough"
2000s,25.0,Gold,Cycling,Graeme Allen Brown
2000s,25.0,Gold,Cycling,Graeme Allen Brown
1970s,22.0,Bronze,Sailing,Ian Warwick Brown
1990s,24.0,Bronze,Softball,"Joanne ""Jo"" Brown (-Alchin)"
2000s,28.0,Bronze,Softball,"Joanne ""Jo"" Brown (-Alchin)"
2000s,24.0,Bronze,Hockey,Kiel Brown
2010s,26.0,Bronze,Water Polo,Victoria Brown
1950s,31.0,Bronze,Canoeing,Walter William Brown
1950s,25.0,Gold,Cycling,Ian Sterry Browne
1970s,23.0,Silver,Hockey,"Gregory Charles ""Greg"" Browning"
1940s,24.0,Silver,Athletics,"Theodore William ""Bill"" Bruce"
1980s,21.0,Bronze,Swimming,Glenn Robert Buchanan
1980s,21.0,Bronze,Swimming,Glenn Robert Buchanan
1980s,25.0,Gold,Hockey,Sharon Lee Buchanan-Patmore
2000s,29.0,Silver,Sailing,Darren Bundock
2000s,37.0,Silver,Sailing,Darren Bundock
2010s,33.0,Bronze,Hockey,Nathan Burgers
2000s,33.0,Silver,Rowing,Simon Peter Burgess
2000s,36.0,Silver,Rowing,Simon Peter Burgess
2000s,26.0,Silver,Rowing,"Daniel ""Dan"" Burke"
2000s,26.0,Gold,Taekwondo,Lauren Chantel Burns (-Muller)
2000s,27.0,Silver,Baseball,Adrian Mark Burnside
2010s,34.0,Bronze,Equestrianism,Christopher Burton
2010s,26.0,Gold,Sailing,Tom Burton
1960s,18.0,Silver,Swimming,William Charles Burton
2000s,27.0,Gold,Hockey,Dean William Butler
2010s,24.0,Bronze,Hockey,Matthew Butturini
1950s,39.0,Bronze,Sailing,"Douglas Raymond ""Doug"" Buxton"
1960s,17.0,Gold,Athletics,Maureen Caird (-Jones)
1980s,27.0,Bronze,Sailing,Christopher Cairns
2000s,21.0,Gold,Swimming,Ashley John Callus
2000s,29.0,Bronze,Swimming,Ashley John Callus
2000s,24.0,Silver,Swimming,Dyana Jane Calub
2010s,20.0,Bronze,Basketball,"Elizabeth Folake ""Liz"" Cambage"
2010s,22.0,Gold,Swimming,Bronte Campbell
2000s,16.0,Bronze,Swimming,Cate Natalie Campbell
2000s,16.0,Bronze,Swimming,Cate Natalie Campbell
2010s,20.0,Gold,Swimming,Cate Natalie Campbell
2010s,24.0,Gold,Swimming,Cate Natalie Campbell
2010s,24.0,Silver,Swimming,Cate Natalie Campbell
1980s,26.0,Gold,Hockey,Lee Capes (-Nobbs)
1980s,21.0,Gold,Hockey,Michelle Edith Capes-Hager
1980s,21.0,Gold,Hockey,Sally May Carbon (-Bell)
1990s,23.0,Silver,Hockey,Ashley Carey
2000s,26.0,Silver,Softball,Marissa Carpadios
2000s,23.0,Gold,Cycling,Sara Maree Carrigan
2010s,25.0,Bronze,Hockey,Joel Carroll
1960s,17.0,Silver,Swimming,Julian Paul Carroll
1990s,26.0,Bronze,Hockey,Stuart Cameron Carruthers
2010s,21.0,Gold,Rugby Sevens,Charlotte Caslick
2000s,26.0,Gold,Water Polo,Naomi Sandra Castle
1950s,30.0,Bronze,Rowing,"Philip Arthur ""Phil"" Cayzer"
2010s,18.0,Gold,Swimming,Kyle Chalmers
2010s,18.0,Bronze,Swimming,Kyle Chalmers
2010s,18.0,Bronze,Swimming,Kyle Chalmers
1990s,22.0,Bronze,Basketball,Michelle Louise Chandler (-Cleary)
1950s,26.0,Bronze,Rowing,Ernest William Chapman
1950s,19.0,Bronze,Swimming,Gary Arthur Chapman
1950s,19.0,Gold,Swimming,Gary Arthur Chapman
2010s,32.0,Silver,Rowing,James Jonathan Chapman
1980s,21.0,Bronze,Rowing,"Susan Claire ""Sue"" Chapman (-Popa)"
1970s,24.0,Silver,Hockey,"Richard Ian ""Ric"" Charlesworth"
1920s,16.0,Bronze,Swimming,"Andrew Murray ""Boy"" Charlton"
1920s,16.0,Gold,Swimming,"Andrew Murray ""Boy"" Charlton"
1920s,16.0,Silver,Swimming,"Andrew Murray ""Boy"" Charlton"
1920s,20.0,Silver,Swimming,"Andrew Murray ""Boy"" Charlton"
1920s,20.0,Silver,Swimming,"Andrew Murray ""Boy"" Charlton"
1980s,19.0,Silver,Boxing,Grahame Francis Cheney
2010s,23.0,Gold,Rugby Sevens,Emilee Cherry
1950s,38.0,Bronze,Rowing,"Thomas Edmund Malcolm ""Tom"" Chessell"
1990s,20.0,Bronze,Hockey,Baeden Ty Choppy
1920s,21.0,Silver,Swimming,"Maurice Froomes ""Moss"" Christie"
2010s,26.0,Bronze,Hockey,"Christopher ""Chris"" Ciriello"
1970s,20.0,Silver,Cycling,"Daniel ""Danny"" Clark"
1960s,27.0,Bronze,Athletics,"Ronald William ""Ron"" Clarke"
2010s,27.0,Gold,Canoeing,Jacob Clear
1980s,31.0,Gold,Hockey,"Elspeth Catherine Clement (Swain-, -Denning)"
1960s,34.0,Bronze,Equestrianism,Brien William Baxter Cobcroft
2000s,25.0,Silver,Diving,"Briony Christine ""Bree"" Cole"
1990s,25.0,Bronze,Canoeing,"Daniel James ""Danny"" Collins"
2000s,29.0,Silver,Canoeing,"Daniel James ""Danny"" Collins"
1960s,18.0,Silver,Swimming,Alva Merlin Colquhoun
2000s,24.0,Bronze,Hockey,Adam David Commens
1990s,21.0,Bronze,Beach Volleyball,Natalie Louise Cook
2000s,25.0,Gold,Beach Volleyball,Natalie Louise Cook
2010s,17.0,Silver,Swimming,Tamsin Cook
1990s,23.0,Bronze,Basketball,Allison Petra Cook-Tranquilli
2000s,31.0,Silver,Basketball,Allison Petra Cook-Tranquilli
1970s,24.0,Silver,Hockey,Ian Cooke
1990s,27.0,Gold,Rowing,Andrew Dollman Cooper
1970s,18.0,Gold,Swimming,"Bradford Paul ""Brad"" Cooper"
1990s,30.0,Bronze,Softball,Kim Cooper (-Maguire)
1990s,20.0,Silver,Hockey,"Gregory Dean ""Greg"" Corbitt"
1990s,27.0,Bronze,Athletics,Daniela Costian
2010s,24.0,Gold,Swimming,Alicia Jayne Coutts
2010s,24.0,Silver,Swimming,Alicia Jayne Coutts
2010s,24.0,Bronze,Swimming,Alicia Jayne Coutts
2010s,24.0,Silver,Swimming,Alicia Jayne Coutts
2010s,24.0,Silver,Swimming,Alicia Jayne Coutts
1950s,22.0,Silver,Cycling,Lionel Malvyne Cox
1950s,22.0,Gold,Cycling,Lionel Malvyne Cox
2000s,27.0,Silver,Basketball,Rohanee Cox
1990s,29.0,Bronze,Canoeing,"Annemarie Josefina ""Anna"" Cox-Wood"
1960s,34.0,Gold,Equestrianism,Brian John Crago
1950s,18.0,Silver,Swimming,Lorraine Joyce Crapp (-Thurlow)
1950s,18.0,Gold,Swimming,Lorraine Joyce Crapp (-Thurlow)
1950s,18.0,Gold,Swimming,Lorraine Joyce Crapp (-Thurlow)
1960s,21.0,Silver,Swimming,Lorraine Joyce Crapp (-Thurlow)
2000s,28.0,Gold,Rowing,David William Crawshay
1950s,22.0,Gold,Athletics,Norma Wilson Croker-Fleming
2000s,24.0,Bronze,Softball,Kylie Cronk
1960s,29.0,Bronze,Hockey,Mervyn Richard Crossman
2010s,26.0,Bronze,Rowing,"Kimberley ""Kim"" Crow-Brennan"
2010s,26.0,Silver,Rowing,"Kimberley ""Kim"" Crow-Brennan"
