Sport,Medal,count
Archery,Bronze,2
Archery,Gold,1
Athletics,Bronze,28
Athletics,Gold,21
Athletics,Silver,27
Baseball,Silver,1
Basketball,Bronze,2
Basketball,Silver,3
Beach Volleyball,Bronze,1
Beach Volleyball,Gold,1
Boxing,Bronze,3
Boxing,Silver,1
Canoeing,Bronze,13
Canoeing,Gold,3
Canoeing,Silver,8
Cycling,Bronze,18
Cycling,Gold,14
Cycling,Silver,19
Diving,Bronze,7
Diving,Gold,3
Diving,Silver,3
Equestrianism,Bronze,3
Equestrianism,Gold,6
Equestrianism,Silver,3
Hockey,Bronze,5
Hockey,Gold,4
Hockey,Silver,3
Judo,Bronze,2
Modern Pentathlon,Gold,1
Rowing,Bronze,14
Rowing,Gold,11
Rowing,Silver,15
Rugby Sevens,Gold,1
Sailing,Bronze,8
Sailing,Gold,11
Sailing,Silver,8
Shooting,Bronze,5
Shooting,Gold,5
Shooting,Silver,1
Softball,Bronze,3
Softball,Silver,1
Swimming,Bronze,66
Swimming,Gold,60
Swimming,Silver,67
Taekwondo,Gold,1
Taekwondo,Silver,1
Tennis,Bronze,4
Tennis,Gold,1
Tennis,Silver,1
Trampolining,Silver,1
Triathlon,Bronze,2
Triathlon,Gold,1
Triathlon,Silver,2
Water Polo,Bronze,2
Water Polo,Gold,1
Weightlifting,Bronze,2
Weightlifting,Gold,1
Weightlifting,Silver,1
Wrestling,Bronze,2
Wrestling,Silver,1
