Sport,decade,medal_count
Archery,2000s,2
Archery,2010s,1
Athletics,1890s,2
Athletics,1900s,6
Athletics,1920s,2
Athletics,1930s,1
Athletics,1940s,6
Athletics,1950s,16
Athletics,1960s,16
Athletics,1970s,2
Athletics,1980s,6
Athletics,1990s,4
Athletics,2000s,10
Athletics,2010s,5
Baseball,2000s,1
Basketball,1990s,1
Basketball,2000s,3
Basketball,2010s,1
Beach Volleyball,1990s,1
Beach Volleyball,2000s,1
Boxing,1950s,1
Boxing,1960s,2
Boxing,1980s,1
Canoeing,1950s,1
Canoeing,1980s,4
Canoeing,1990s,6
Canoeing,2000s,9
Canoeing,2010s,4
Cycling,1920s,1
Cycling,1930s,1
Cycling,1950s,5
Cycling,1970s,3
Cycling,1980s,5
Cycling,1990s,10
Cycling,2000s,18
Cycling,2010s,8
Diving,1920s,1
Diving,2000s,10
Diving,2010s,2
Equestrianism,1960s,4
Equestrianism,1970s,1
Equestrianism,1990s,3
Equestrianism,2000s,3
Equestrianism,2010s,1
Hockey,1960s,2
Hockey,1970s,1
Hockey,1980s,1
Hockey,1990s,3
Hockey,2000s,4
Hockey,2010s,1
Judo,1960s,1
Judo,2000s,1
Modern Pentathlon,2010s,1
Rowing,1920s,1
Rowing,1930s,1
Rowing,1940s,1
Rowing,1950s,5
Rowing,1960s,1
Rowing,1980s,3
Rowing,1990s,8
Rowing,2000s,12
Rowing,2010s,8
Rugby Sevens,2010s,1
Sailing,1950s,2
Sailing,1960s,1
Sailing,1970s,4
Sailing,1980s,1
Sailing,1990s,4
Sailing,2000s,7
Sailing,2010s,8
Shooting,1980s,1
Shooting,1990s,3
Shooting,2000s,6
Shooting,2010s,1
Softball,1990s,1
Softball,2000s,3
Swimming,1900s,7
Swimming,1920s,8
Swimming,1930s,2
Swimming,1940s,4
Swimming,1950s,15
Swimming,1960s,30
Swimming,1970s,11
Swimming,1980s,22
Swimming,1990s,21
Swimming,2000s,53
Swimming,2010s,20
Taekwondo,2000s,2
Tennis,1890s,1
Tennis,1980s,1
Tennis,1990s,2
Tennis,2000s,2
Trampolining,2000s,1
Triathlon,2000s,4
Triathlon,2010s,1
Water Polo,2000s,2
Water Polo,2010s,1
Weightlifting,1950s,1
Weightlifting,1980s,2
Weightlifting,1990s,1
Wrestling,1930s,1
Wrestling,1940s,2
