Year,Medal,count
1896,Bronze,1
1896,Gold,2
1900,Bronze,3
1900,Gold,3
1904,Bronze,1
1904,Silver,3
1906,Bronze,3
1920,Bronze,1
1920,Silver,2
1924,Bronze,2
1924,Gold,3
1924,Silver,1
1928,Bronze,1
1928,Gold,1
1928,Silver,2
1932,Bronze,1
1932,Gold,3
1932,Silver,1
1936,Bronze,1
1948,Bronze,5
1948,Gold,2
1948,Silver,6
1952,Bronze,3
1952,Gold,6
1952,Silver,2
1956,Bronze,14
1956,Gold,13
1956,Silver,8
1960,Bronze,6
1960,Gold,8
1960,Silver,8
1964,Bronze,10
1964,Gold,6
1964,Silver,2
1968,Bronze,5
1968,Gold,5
1968,Silver,7
1972,Bronze,2
1972,Gold,8
1972,Silver,7
1976,Bronze,4
1976,Silver,1
1980,Bronze,5
1980,Gold,2
1980,Silver,2
1984,Bronze,12
1984,Gold,4
1984,Silver,8
1988,Bronze,5
1988,Gold,3
1988,Silver,6
1992,Bronze,11
1992,Gold,7
1992,Silver,9
1996,Bronze,23
1996,Gold,9
1996,Silver,9
2000,Bronze,17
2000,Gold,16
2000,Silver,25
2004,Bronze,17
2004,Gold,17
2004,Silver,16
2008,Bronze,17
2008,Gold,14
2008,Silver,15
2012,Bronze,12
2012,Gold,7
2012,Silver,16
2016,Bronze,10
2016,Gold,8
2016,Silver,11
