Sport,sydney_2000,other_games_avg
Archery,1.0,1.0
Athletics,3.0,3.32
Baseball,0.0,1.0
Basketball,1.0,1.0
Beach Volleyball,1.0,1.0
Boxing,0.0,1.33
Canoeing,2.0,2.2
Cycling,6.0,3.46
Diving,2.0,2.2
Equestrianism,2.0,1.43
Hockey,2.0,1.11
Judo,1.0,1.0
Modern Pentathlon,0.0,1.0
Rowing,5.0,2.69
Rugby Sevens,0.0,1.0
Sailing,4.0,2.3
Shooting,3.0,1.6
Softball,1.0,1.0
Swimming,18.0,7.29
Taekwondo,2.0,0.0
Tennis,1.0,1.0
Trampolining,1.0,0.0
Triathlon,1.0,1.33
Water Polo,1.0,1.0
Weightlifting,0.0,1.33
Wrestling,0.0,1.5
