NOC,total_medals
AFG,2
AHO,1
ALG,17
ANZ,12
ARG,74
ARM,16
AUS,506
AUT,108
AZE,44
BAH,14
BAR,1
BDI,2
BEL,166
BER,1
BLR,84
BOH,7
BOT,1
BRA,128
BRN,3
BUL,217
CAN,305
CHI,13
CHN,542
CIV,3
CMR,5
COL,28
CRC,4
CRO,33
CUB,214
CYP,1
CZE,54
DEN,210
DJI,1
DOM,7
ECU,2
EGY,27
ERI,1
ESP,148
EST,34
ETH,53
EUN,112
FIJ,1
FIN,310
FRA,770
FRG,204
GAB,1
GBR,892
GDR,409
GEO,32
GER,776
GHA,4
GRE,151
GRN,2
GUA,1
GUY,1
HAI,3
HKG,3
HUN,504
INA,30
IND,28
IOA,5
IRI,68
IRL,33
IRQ,1
ISL,4
ISR,9
ISV,1
ITA,608
JAM,76
JOR,1
JPN,437
KAZ,70
KEN,100
KGZ,3
KOR,263
KOS,1
KSA,3
KUW,2
LAT,19
LIB,4
LTU,25
LUX,6
MAR,23
MAS,11
MDA,7
MEX,67
MGL,26
MKD,1
MNE,1
MON,1
MOZ,2
MRI,1
NAM,4
NED,297
NGR,24
NIG,2
NOR,155
NZL,118
PAK,10
PAN,3
PAR,1
PER,4
PHI,10
POL,290
POR,24
PRK,54
PUR,9
QAT,5
ROU,303
RSA,88
RUS,460
SCG,9
SEN,1
SGP,5
SLO,23
SRB,15
SRI,2
SUD,1
SUI,209
SUR,2
SVK,28
SWE,513
SYR,3
TAN,2
TCH,146
TGA,1
THA,30
TJK,4
TOG,1
TPE,24
TTO,19
TUN,13
TUR,95
UAE,2
UAR,2
UGA,7
UKR,126
URS,1005
URU,10
USA,2544
UZB,33
VEN,15
VIE,4
WIF,2
YUG,83
ZAM,2
ZIM,8
