NOC,total_medals,population_2016,medals_per_million
CHI,13,163883.0,79.32
FIN,310,5495303.0,56.41
SWE,513,9923085.0,51.7
HUN,504,9759755.0,51.64
NOR,155,5234519.0,29.61
JAM,76,2809915.0,27.05
EST,34,1315790.0,25.84
NZL,118,4714100.0,25.03
AUS,506,24190907.0,20.92
CUB,214,11265612.0,19.0
ROU,303,19702267.0,15.38
BEL,166,11331422.0,14.65
TTO,19,1353895.0,14.03
GBR,892,65607000.0,13.6
AUT,108,8736668.0,12.36
FRA,770,66724104.0,11.54
ITA,608,60115223.0,10.11
BLR,84,9469379.0,8.87
LTU,25,2877325.0,8.69
GEO,32,3727505.0,8.58
